Município;01 ESF - EQUIPE DE SAUDE DA FAMILIA;02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I;03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II;04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE;06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1;07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2;08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA;10 EACSSB_M1 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MI;11 EACSSB_M2 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MII;22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I;23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO;36 ESFTRANS      - ESF TRANSITORIA;40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I;41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II;45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3;46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II;49 EAP;51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL;52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II;54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III;Total
260160 Belém do São Francisco;5;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260170 Belo Jardim;5;10;0;2;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;21
260180 Betânia;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
260190 Bezerros;5;14;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
260200 Bodocó;4;7;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
260210 Bom Conselho;6;7;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;17
260220 Bom Jardim;3;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
260230 Bonito;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
260240 Brejão;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
260250 Brejinho;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
260260 Brejo da Madre de Deus;0;10;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;14
260270 Buenos Aires;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
260280 Buíque;6;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;12
260290 Cabo de Santo Agostinho;16;23;3;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;48
