"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA0CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL0CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA 0 LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE0HOSP0URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"261110 Petrolina";4;3;1;9;1;3;0;55;0;1;210;127;2;0;1;9;2;0;1;15;0;0;0;0;0;2;1;0;39;2;0;7;4;0;1;500
"261120 Poção";0;0;0;1;0;1;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;1;1;1;0;0;0;16
"261130 Pombos";1;0;0;1;0;1;0;10;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;21
"261140 Primavera";0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;9
"261150 Quipapá";1;0;0;1;0;1;0;9;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;20
"261153 Quixaba";2;0;0;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;9
"261160 Recife";40;2;1;0;0;17;0;161;0;3;1027;953;17;1;31;40;1;0;3;28;0;0;5;6;1;10;8;1;193;1;0;36;4;4;1;2595
"261170 Riacho das Almas";2;0;0;1;0;0;0;7;0;0;2;3;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;1;0;1;1;1;0;0;24
"261180 Ribeirão";0;0;0;1;0;1;0;11;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;22
"261190 Rio Formoso";0;0;0;0;0;1;0;9;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;15
"261200 Sairé";0;0;0;1;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;1;0;1;1;0;0;0;16
"261210 Salgadinho";1;0;0;1;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;10
"261220 Salgueiro";2;1;0;1;1;1;0;20;0;0;22;19;0;0;0;2;0;0;1;2;1;0;0;0;0;2;0;1;7;0;0;0;0;1;0;84
"261230 Saloá";1;0;0;1;0;1;0;8;0;0;2;0;0;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;19
"261240 Sanharó";1;1;0;1;0;0;0;9;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;17
"261245 Santa Cruz";2;0;0;1;0;0;0;6;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;14
"261247 Santa Cruz da Baixa Verde";2;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;12
"261250 Santa Cruz do Capibaribe";3;1;0;2;0;1;0;19;0;1;9;27;0;0;0;1;0;0;0;2;0;3;1;0;1;0;0;0;8;0;0;3;1;0;0;83
"261255 Santa Filomena";0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;8
